server,x,y,z,planet,material,quality_min,quality_max,note
eu10,-307.8551940917969,176.87319946289062,303.28509521484375,Pyro_E5_Fuego,Hephaestanite,0,120,
,-555.36, 53.59, 745.67,Pyro_E5_Fuego,Location,0.0,0.0,Derelict Outpost
eu10,-420.93341064453125,173.03590393066406,104.13240051269531,Pyro_E5_Fuego,Janalite,657,804,
eu10,-413.4054870605469,180.55520629882812,120.93409729003906,Pyro_E5_Fuego,Aphorite,200,991,
eu10,-410.9175109863281,175.77529907226562,135.0386962890625,Pyro_E5_Fuego,Dolivine,194,957,
eu10,-98.67759704589844,0.6669999957084656,456.33880615234375,Pyro_E5_Fuego,Aslarite,502,794,
eu10,-104.98670196533203,1.7719999551773071,455.5559997558594,Pyro_E5_Fuego,Aslarite,523,731,
eu10,-93.62409973144531,-5.2129998207092285,457.2359924316406,Pyro_E5_Fuego,Aslarite,529,600,
eu10,-91.41729736328125,-0.5224199891090393,457.6112060546875,Pyro_E5_Fuego,Beryl,730,748,
eu10,-88.29850006103516,2.13782000541687,458.1155090332031,Pyro_E5_Fuego,Hephaestanite,519,563,
eu10,-78.81379699707031,4.124000072479248,459.83648681640625,Pyro_E5_Fuego,Iron,563,819,
eu10,-71.15399932861328,20.065000534057617,460.85198974609375,Pyro_E5_Fuego,Iron,552,748,
eu10,-66.9574966430664,35.044898986816406,461.2085876464844,Pyro_E5_Fuego,Aslarite,519,638,
eu10,-71.15789794921875,43.19995880126953,460.0448913574219,Pyro_E5_Fuego,Hephaestanite,551,660,
eu10,-60.25310134887695,310.3117980957031,-60.43510055541992,Pyro_Pyro4,Laranite,524,804,
eu10,-12.965700149536133,316.2242126464844,-57.5984001159668,Pyro_Pyro4,Stileron,765,765,
eu10,10.71399974822998,310.1449890136719,-97.43049621582031,Pyro_Pyro4,Copper,525,710,
eu10,14.84529972076416,309.8252868652344,-88.56189727783203,Pyro_Pyro4,Laranite,559,711,
eu10,20.237600326538086,309.62908935546875,-87.30020141601562,Pyro_Pyro4,Aphorite,215,919,
eu10,25.32990074157715,308.0971984863281,-92.03980255126953,Pyro_Pyro4,Aphorite,204,1000,
eu10,173.19500732421875,195.7949981689453,187.58380126953125,Pyro_Pyro4,Iron,545,941,
,-78154.124413,307383.756331,-54007.317201,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center V
,86118.133617,305944.057302,-47804.368979,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center VI
,196156.073789,196986.339516,-161385.953146,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center III
,-2596.810209,224629.039376,-230649.078075,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center IV
,312229.814696,15049.513326,-74816.764946,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center II
,270703.0191,-172380.991596,17854.343241,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center I
,109613.269806,-206013.227135,-221839.909226,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center IX
,-40668.981066,-105829.756162,-300991.258179,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center X
,137495.316461,103253.009548,271748.330362,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center VIII
,-75723.72842,60774.805146,306394.151895,Pyro_Pyro4,Location,0.0,0.0,Farro Data Center VII
eu180,-57.31999969482422,-0.12331999838352203,463.25579833984375,Pyro_E5_Fuego,Iron,503,695,
eu180,-60.08399963378906,6.469880104064941,462.9787902832031,Pyro_E5_Fuego,Borase,519,601,
eu180,-68.88700103759766,1.3795299530029297,461.56390380859375,Pyro_E5_Fuego,Hephaestanite,509,681,
eu180,-68.88700103759766,-0.004999999888241291,461.3785095214844,Pyro_E5_Fuego,Aphorite,214,899,
eu180,-67.21530151367188,-10.156399726867676,461.8450927734375,Pyro_E5_Fuego,Aphorite,213,785,
eu180,-63.707000732421875,-11.856499671936035,462.17120361328125,Pyro_E5_Fuego,Aslarite,581,680,
eu180,-63.118900299072266,-11.918100357055664,462.2111511230469,Pyro_E5_Fuego,Aphorite,226,800,
eu180,-63.615501403808594,-13.151000022888184,462.1736145019531,Pyro_E5_Fuego,Hephaestanite,532,779,
eu180,-72.99849700927734,-10.112000465393066,460.8164978027344,Pyro_E5_Fuego,Beryl,570,679,
eu180,-76.3864974975586,-8.975000381469727,460.2611083984375,Pyro_E5_Fuego,Hephaestanite,510,663,
eu180,-76.43099975585938,-5.460999965667725,460.3789978027344,Pyro_E5_Fuego,Aslarite,560,790,
eu180,-85.72959899902344,-0.12600000202655792,458.7349853515625,Pyro_E5_Fuego,Hephaestanite,529,590,
eu180,-81.1218032836914,9.395999908447266,459.4804992675781,Pyro_E5_Fuego,Hephaestanite,521,751,
eu180,-79.34030151367188,14.100000381469727,459.794189453125,Pyro_E5_Fuego,Iron,512,541,
eu180,-88.5791015625,21.20989990234375,458.26458740234375,Pyro_E5_Fuego,Iron,512,662,
eu180,-90.76200103759766,10.016900062561035,457.6376953125,Pyro_E5_Fuego,Dolivine,230,809,
eu180,-98.77850341796875,-5.177999973297119,456.1693115234375,Pyro_E5_Fuego,Hephaestanite,645,850,
eu180,-103.19999694824219,-5.874000072479248,455.21539306640625,Pyro_E5_Fuego,Aphorite,205,803,
eu180,144.8325958251953,30.67460060119629,366.44000244140625,Pyro_A5_Ignis,Gold,564,932,
eu180,138.98260498046875,31.489599227905273,368.6195983886719,Pyro_A5_Ignis,Gold,506,511,
eu180,134.38900756835938,36.57699966430664,369.87890625,Pyro_A5_Ignis,Tin,501,745,
eu180,127.41230010986328,31.71500015258789,372.6289978027344,Pyro_A5_Ignis,Gold,501,516,
eu180,121.58699798583984,16.67300033569336,375.3782043457031,Pyro_A5_Ignis,Riccite,500,500,
eu180,110611.109375,10930.80078125,379600.90625,Pyro_A5_Ignis,Tin,530,600,
